elevator,rooms,address,price,size
 con ascensore,2 ,"Bilocale in via matteotti, 5, Carpiano",600,70 
 con ascensore,3 ,"Trilocale in via stendhal, s.n.c, Solari-Savona-Tortona, Milano",1.050,95 
 con ascensore,4 ,"Quadrilocale in via principe eugenio, 51, Govone, Milano",2.000,150 
 con ascensore,4 ,"Quadrilocale in via principe eugenio, 51, Govone, Milano",2.350,150 
,2 ,"Bilocale in via pietro custodi, 16, Bligny-Toscana, Milano",1.300,60 
 con ascensore,4 ,"Appartamento su due piani in monte rosa, 14, Fiera, Milano",2.190,170 
 con ascensore,,"Monolocale in via Sebino, 8, Martini-Cuoco, Milano",600,30 
 con ascensore,5 ,"Attico in via passo di brizio, San Siro, Milano",1.833,140 
 con ascensore,2 ,"Bilocale in via washington, 91, San Vittore-Washington, Milano",1.000,55 
 con ascensore,2 ,"Bilocale in via leoncavallo, 14, Teodosio-Porpora, Milano",750,60 
 con ascensore,5 ,"Appartamento in vincenzo monti, Ariosto-Magenta, Milano",2.000,160 
 con ascensore,3 ,"Trilocale in via della commenda, 31, Tribunale, Milano",1.800,100 
,2 ,"Bilocale in via paolo mantegazza, 5, Varesina-Testori, Milano",630,45 
 con ascensore,2 ,"Bilocale in via washington, 102, Solari-Savona-Tortona, Milano",850,50 
 con ascensore,4 ,"Quadrilocale in via marco greppi, 10, Martini-Cuoco, Milano",1.040,74 
 con ascensore,2 ,"Bilocale in via don giovanni calabria, 21, Udine, Milano",650,70 
 senza ascensore,3 ,"Trilocale in Argonne-Corsica, Milano",1.125,90 
 ,3 ,Trilocale a San Colombano al Lambro,500,85 
 con ascensore,4 ,"Quadrilocale in via nerino, Zona Sant`Ambrogio-Università Cattolica, Milano",4.200,150 
,3 ,Trilocale a San Colombano al Lambro,550,110 
,2 ,"Bilocale in via lodovico ariosto, Ariosto-Magenta, Milano",1.333,75 
 senza ascensore,2 ,"Bilocale in via paolo sarpi, s.n.c, Sempione, Milano",930,45 
,3 ,"Trilocale in alberto mario, s.n.c, Fiera, Milano",1.300,120 
 con ascensore,4 ,"Quadrilocale in via piceno, s.n.c, Indipendenza-Regina Giovanna, Milano",2.450,180 
 con ascensore,2 ,"Bilocale in via vallazze, 93, Teodosio-Porpora, Milano",630,55 
 con ascensore,2 ,"Bilocale in piazzale brescia, s.n.c, Morgantini, Milano",1.000,70 
,,"Monolocale in via privata martiri triestini, 10, Morgantini, Milano",580,30 
,,"Monolocale in via murillo, 33, Morgantini, Milano",500,30 
 con ascensore,5 ,"Appartamento in via gerolamo borgazzi, s.n.c, Mercalli-Quadronno, Milano",2.250,155 
 con ascensore,2 ,"Bilocale in via vitruvio, 47, Centrale, Milano",950,68 
 con ascensore,3 ,"Trilocale in rosselli, 25, Sulmona, Milano",700,75 
